[00:00:56] [Server thread/INFO]: Named entity EntityEnderman['Enderman'/3341, l='ServerLevel[world_the_end]', x=45.30, y=60.00, z=3.30] died: Enderman was slain by suberboy45ds
[00:01:03] [Server thread/INFO]: Named entity EntityEnderman['Enderman'/11402, l='ServerLevel[world_the_end]', x=22.76, y=61.00, z=10.35] died: Enderman was slain by suberboy45ds
[00:01:39] [Server thread/INFO]: suberboy45ds has made the advancement [Remote Getaway]
[00:02:31] [Server thread/INFO]: Named entity EntityEnderman['Enderman'/11568, l='ServerLevel[world_the_end]', x=-588.61, y=66.00, z=-898.45] died: Enderman was slain by suberboy45ds
[00:02:37] [Server thread/INFO]: Named entity EntityEnderman['Enderman'/11509, l='ServerLevel[world_the_end]', x=-587.95, y=66.00, z=-899.52] died: Enderman was slain by suberboy45ds
[00:04:17] [Server thread/INFO]: Named entity EntityEnderman['Enderman'/11792, l='ServerLevel[world_the_end]', x=-303.38, y=60.30, z=-1016.10] died: Enderman was slain by suberboy45ds
[00:04:52] [Server thread/INFO]: suberboy45ds has made the advancement [The City at the End of the Game]
[00:04:57] [Server thread/INFO]: Named entity EntityShulker['Shulker'/11544, l='ServerLevel[world_the_end]', x=-270.50, y=63.00, z=-1201.50] died: Shulker was slain by suberboy45ds
[00:05:14] [Server thread/INFO]: Named entity EntityShulker['Shulker'/11543, l='ServerLevel[world_the_end]', x=-264.50, y=63.00, z=-1197.50] died: Shulker was slain by suberboy45ds
[00:06:21] [Server thread/INFO]: Named entity EntityShulker['Shulker'/11537, l='ServerLevel[world_the_end]', x=-264.50, y=91.00, z=-1195.50] died: Shulker was slain by suberboy45ds
[00:06:40] [Server thread/INFO]: Named entity EntityShulker['Shulker'/11541, l='ServerLevel[world_the_end]', x=-268.50, y=103.00, z=-1191.50] died: Shulker was slain by suberboy45ds
[00:06:45] [Server thread/INFO]: Named entity EntityShulker['Shulker'/11540, l='ServerLevel[world_the_end]', x=-268.50, y=106.00, z=-1191.50] died: Shulker was slain by suberboy45ds
[00:07:32] [Server thread/INFO]: Named entity EntityShulker['Shulker'/11538, l='ServerLevel[world_the_end]', x=-268.50, y=95.00, z=-1191.50] died: Shulker was slain by suberboy45ds
[00:07:37] [Server thread/INFO]: Named entity EntityShulker['Shulker'/11542, l='ServerLevel[world_the_end]', x=-265.50, y=100.00, z=-1193.50] died: Shulker was slain by suberboy45ds
[00:07:42] [Server thread/INFO]: Named entity EntityShulker['Shulker'/12169, l='ServerLevel[world_the_end]', x=-272.50, y=99.00, z=-1195.50] died: Shulker was slain by suberboy45ds
[00:07:59] [Server thread/INFO]: Named entity EntityShulker['Shulker'/11539, l='ServerLevel[world_the_end]', x=-271.50, y=90.00, z=-1198.50] died: Shulker was slain by suberboy45ds
[00:09:00] [Server thread/INFO]: Named entity EntityShulker['Shulker'/11535, l='ServerLevel[world_the_end]', x=-265.50, y=106.00, z=-1199.50] died: Shulker was slain by suberboy45ds
